Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
48.0,-1.793,1.855,0.98,1.112,-0.206,-0.2,0.617,0.064,0.69,1.552,-0.162,0.424,0.016,-0.406,0.272,-1.423,0.676,-0.911,0.462,0.668,-0.181,0.235,-0.091,0.418,0.123,-0.233,0.812,0.619,26.72,0
49.0,1.099,0.202,0.525,1.323,-0.13,0.04,0.028,0.073,-0.098,0.02,1.474,1.69,0.507,0.125,-0.893,-0.622,0.044,-0.642,-0.162,-0.128,-0.025,0.154,-0.063,0.253,0.629,-0.345,0.04,0.01,13.18,0
49.0,-0.55,0.419,1.73,0.203,-0.187,0.254,0.501,0.251,-0.228,-0.576,1.102,0.824,-0.57,0.009,-1.041,-0.603,0.225,-0.352,0.195,0.017,0.115,0.419,-0.065,0.265,0.004,0.396,0.027,0.044,59.99,0
49.0,0.922,-0.067,0.077,0.954,0.067,0.016,0.32,0.039,-0.392,0.032,1.392,1.079,0.106,0.666,0.442,0.123,-0.492,-0.535,-0.078,0.12,-0.334,-1.3,0.084,-0.37,0.155,-0.834,0.001,0.036,135.51,0
50.0,-0.572,1.072,1.28,0.543,0.574,-0.259,1.061,-0.411,-0.179,1.004,1.062,0.159,-0.29,0.006,0.46,-0.221,-0.776,0.657,0.808,0.355,0.004,0.561,-0.199,0.001,-0.18,-0.374,0.072,-0.176,9.79,0
50.0,-0.672,0.595,0.216,-0.867,2.967,3.632,0.563,0.673,-0.189,-0.404,-0.7,-0.184,-0.427,-0.183,-0.748,-0.038,-0.866,-0.007,-0.16,-0.003,-0.136,-0.3,-0.332,0.996,0.502,-0.518,-0.208,-0.116,14.8,0
51.0,1.26,0.254,0.515,0.621,-0.476,-0.992,0.066,-0.209,0.036,-0.068,-0.204,0.403,0.377,0.227,1.025,0.3,-0.426,-0.55,-0.12,-0.089,-0.257,-0.739,0.136,0.382,0.219,0.094,-0.029,0.019,1.98,0
52.0,1.147,0.059,0.264,1.211,-0.044,0.301,-0.133,0.228,0.252,0.084,0.645,0.413,-1.468,0.503,-0.627,-0.37,-0.032,-0.215,0.055,-0.256,-0.088,-0.111,-0.098,-0.323,0.633,-0.305,0.027,-0.001,6.67,0
52.0,-3.005,2.6,1.484,-2.418,0.306,-0.825,2.065,-1.829,4.009,6.052,2.573,0.067,-0.354,-2.837,0.292,-0.304,-1.942,-0.435,-0.934,2.457,-0.852,-0.181,-0.164,0.516,0.136,0.46,-0.251,-1.106,1.46,0
53.0,-1.199,-1.474,1.84,-4.516,0.328,-0.174,0.96,-1.026,1.7,-0.079,1.663,0.486,-0.933,-1.119,0.141,-2.812,-0.505,0.891,-1.512,-0.77,-0.453,0.335,-0.365,-0.31,-0.303,-1.244,-1.123,-0.734,89.17,0
54.0,1.202,0.322,0.281,0.644,-0.149,-0.59,0.048,-0.093,-0.043,-0.343,0.235,0.57,0.676,-0.351,1.295,0.165,0.246,-0.804,-0.562,-0.071,-0.251,-0.68,0.148,0.047,0.157,0.122,-0.005,0.029,7.53,0
55.0,-4.575,-4.429,3.403,0.904,3.002,-0.491,-2.705,0.666,1.922,-0.614,0.385,1.194,-1.021,-1.247,-2.349,-0.213,-0.1,-0.406,-1.638,-0.961,-0.047,0.853,-0.972,-0.115,0.408,-0.305,0.548,-0.456,200.01,0
55.0,-0.773,0.853,0.818,-0.236,0.803,-1.439,0.799,-0.008,-0.761,-1.044,1.504,-0.292,-1.615,-0.665,-0.293,0.803,0.462,0.835,-0.652,-0.101,0.035,-0.117,-0.179,0.4,-0.026,0.165,0.028,0.133,0.76,0
56.0,-0.848,1.043,1.267,1.136,0.021,0.337,0.398,0.317,-0.029,0.534,0.811,-0.071,-1.969,0.45,-0.263,-0.968,0.459,0.004,1.001,0.129,-0.024,0.215,-0.132,-0.007,-0.137,-0.243,0.383,0.276,20.22,0
56.0,0.087,-0.052,-0.498,-3.152,2.558,2.797,0.47,0.265,0.92,-0.736,0.209,0.017,-0.111,-0.043,1.654,-0.393,-0.876,0.184,1.259,0.167,-0.239,-0.437,0.018,1.013,-0.259,-0.293,-0.395,-0.436,10.84,0
59.0,-0.773,-4.146,-0.932,0.027,-1.698,0.46,0.737,-0.314,-0.843,0.017,-0.618,-0.198,1.595,-0.26,1.221,1.325,0.121,-1.249,-0.005,2.443,0.891,0.026,-1.135,-0.655,0.098,-0.209,-0.172,0.208,1142.02,0
59.0,0.921,-0.162,-0.094,0.474,-0.021,-0.398,0.483,-0.117,-0.578,-0.019,1.838,1.451,0.68,0.594,0.25,-0.084,-0.26,-0.895,-0.01,0.215,-0.209,-0.93,0.029,0.033,0.155,0.133,-0.074,0.022,149.9,0
60.0,1.069,0.044,0.31,1.317,-0.462,-0.858,0.208,-0.191,0.056,0.042,-0.507,-0.109,-0.473,0.452,1.006,0.185,-0.44,0.013,-0.499,-0.002,0.116,0.165,-0.178,0.392,0.625,-0.288,-0.001,0.036,89.4,0
60.0,1.107,0.216,0.538,1.476,-0.252,-0.341,0.154,-0.087,0.144,-0.157,-0.108,1.066,0.621,-0.071,-0.204,-0.853,0.336,-1.18,-0.502,-0.112,-0.06,0.06,-0.048,0.444,0.64,-0.338,0.042,0.024,26.72,0
62.0,-1.035,0.996,2.192,-0.17,-0.302,-0.142,0.223,0.289,0.094,-0.158,-0.386,-0.629,-1.024,0.098,1.562,0.169,-0.149,-0.286,-0.483,0.18,-0.098,-0.17,-0.137,0.055,0.079,0.302,0.391,0.197,5.99,0
64.0,1.213,-0.099,-1.192,0.286,2.161,3.616,-0.404,0.842,0.169,-0.031,-0.542,0.237,-0.218,0.197,-0.148,-0.098,-0.51,-0.071,0.355,0.015,-0.167,-0.495,-0.15,1.011,0.884,-0.329,0.02,0.017,34.7,0
64.0,-0.658,0.407,2.037,-0.291,0.148,-0.351,0.945,-0.173,0.025,-0.778,-0.196,0.633,0.374,-0.532,-0.615,-0.518,0.004,-1.289,-0.798,0.064,-0.156,-0.239,0.09,0.421,-0.352,0.075,-0.094,-0.092,54.99,0
64.0,0.96,0.371,0.889,2.343,0.352,1.366,-0.278,0.516,-0.701,0.468,0.746,0.374,-0.224,0.417,1.678,-0.516,0.662,-2.514,-2.59,-0.298,-0.156,-0.403,0.357,-0.697,-0.199,-0.22,0.069,0.021,7.55,0
67.0,-0.653,0.16,1.592,1.297,0.997,-0.343,0.47,-0.132,-0.198,-0.105,-0.544,0.302,0.141,-0.208,0.024,-1.207,0.395,-0.751,0.441,0.226,0.038,0.336,-0.015,0.103,-0.265,-0.349,0.011,-0.049,19.85,0
67.0,-1.495,0.837,2.628,3.145,-0.609,0.258,-0.012,0.102,-0.286,1.199,-0.55,-0.107,0.208,-0.681,0.508,-0.26,0.247,0.009,0.899,-0.028,-0.14,0.355,0.333,0.718,-0.219,0.119,-0.317,-0.341,28.28,0
68.0,1.233,0.189,0.491,0.634,-0.512,-0.991,0.066,-0.197,0.076,-0.066,-0.256,0.255,0.105,0.285,1.057,0.316,-0.412,-0.512,-0.12,-0.078,-0.252,-0.77,0.126,0.37,0.206,0.094,-0.033,0.021,15.99,0
68.0,1.157,0.037,0.557,0.52,-0.48,-0.353,-0.222,0.158,0.011,0.106,1.612,0.354,-1.435,0.797,0.745,0.223,-0.229,-0.365,-0.254,-0.222,-0.183,-0.612,0.197,0.175,0.032,0.099,-0.027,0.004,2.69,0
68.0,-0.77,0.484,1.901,-0.002,0.024,-1.172,0.666,-0.095,-0.137,-0.843,-0.408,0.503,-0.011,-0.2,-0.909,-0.324,-0.022,-0.797,-0.48,-0.034,-0.057,-0.156,0.018,0.942,-0.169,0.056,0.059,0.134,22.36,0
